Date,ActualCases,Predicts
2020-11-26,405,437
2020-11-27,531,453
2020-11-28,747,539
2020-11-29,560,553
2020-11-30,793,586
2020-12-01,372,582
2020-12-02,488,564
2020-12-03,728,653
2020-12-04,844,718
2020-12-05,871,715
2020-12-06,805,787
2020-12-07,1431,951
2020-12-08,692,887
2020-12-09,1685,1050
2020-12-10,1038,1251
2020-12-11,1139,1239
2020-12-12,808,1248
2020-12-13,2029,996
2020-12-14,1201,1671
2020-12-15,1099,1248
2020-12-16,918,1534
2020-12-17,1181,1260
2020-12-18,1471,1545
2020-12-19,1020,1355
2020-12-20,1429,1399
2020-12-21,1118,1372
2020-12-22,1185,1408
2020-12-23,1286,1303
2020-12-24,1167,1359
2020-12-25,652,1129
2020-12-26,1560,1193
2020-12-27,1672,1506
2020-12-28,1296,1238
2020-12-29,1153,1161
2020-12-30,158,1218
2020-12-31,2298,984
2021-01-01,1876,1429
2021-01-02,1738,1643
2021-01-03,866,1669
2021-01-04,168,1953
2021-01-05,1708,1858
2021-01-06,1131,1618
2021-01-07,1317,836
2021-01-08,1783,474
2021-01-09,1704,1712
2021-01-10,,1748
