Date,ActualCases,Predicts
2020-10-01,46418,44602
2020-10-02,53580,47995
2020-10-03,47779,39179
2020-10-04,35063,43984
2020-10-05,62412,50983
2020-10-06,42862,46666
2020-10-07,53017,56243
2020-10-08,56383,61534
2020-10-09,58962,52826
2020-10-10,51648,49021
2020-10-11,44783,48665
2020-10-12,48016,52460
2020-10-13,54394,53901
2020-10-14,59853,60587
2020-10-15,65353,69964
2020-10-16,70463,63674
2020-10-17,52761,45419
2020-10-18,47882,66347
2020-10-19,65440,55585
2020-10-20,60594,71070
2020-10-21,64237,66464
2020-10-22,75128,76314
2020-10-23,85297,70999
2020-10-24,78581,71387
2020-10-25,59715,67004
2020-10-26,74631,77235
2020-10-27,74387,81654
2020-10-28,81885,86924
2020-10-29,90657,97078
2020-10-30,99868,83509
2020-10-31,84210,73733
2020-11-01,74195,96065
2020-11-02,94013,85558
2020-11-03,92416,96601
2020-11-04,108080,108574
2020-11-05,121333,124081
2020-11-06,132823,126365
2020-11-07,125932,112570
2020-11-08,103416,119621
2020-11-09,130441,131826
2020-11-10,139750,141765
2020-11-11,142885,155415
2020-11-12,163640,174018
2020-11-13,181497,165284
2020-11-14,159033,154994
2020-11-15,135187,163517
2020-12-01,184260,166420
2020-12-02,201211,190830
2020-12-03,217763,227875
2021-01-01,147260,208200
2021-01-02,291382,184277
2021-01-03,201967,221175
2021-01-04,251962,244623
2021-01-05,235027,265367
2021-01-06,255760,243453
2021-01-07,280278,186216
2021-01-08,300619,288370
2021-01-09,252129,256560
2021-01-10,208336,260536
2021-01-11,222944,253222
2021-01-12,229695,260773
2021-01-13,229318,248182
2021-01-14,238599,242768
2021-01-15,240935,246813
2021-01-16,201659,217067
2021-01-17,169622,201076
2021-01-18,142647,200678
2021-01-19,185070,192490
2021-01-20,186916,180844
2021-01-21,190134,201257
2021-01-22,191742,180110
2021-01-23,167943,116658
2021-01-24,129522,153361
2021-01-25,155705,165826
2021-01-26,151617,174044
2021-01-27,155639,168656
2021-01-28,165250,168360
2021-01-29,165664,161802
2021-01-30,133905,108559
2021-01-31,113511,152751
2021-02-01,139851,148160
2021-02-02,117903,142495
2021-02-03,120039,122825
2021-02-04,125837,130033
2021-02-05,129574,120575
2021-02-06,105025,92151
2021-02-07,87329,99596
2021-02-08,92780,96041
2021-02-09,96480,104426
2021-02-10,94917,101163
2021-02-11,105599,90669
2021-02-12,99558,84067
2021-02-13,84727,60453
2021-02-14,63850,65569
2021-02-15,55372,66377
2021-02-16,64376,48699
2021-02-17,70176,68097
2021-02-18,71874,75201
2021-02-19,78018,52025
