Date,ActualCases,Predicts
2020-10-01,46418,43795
2020-10-02,53580,48416
2020-10-03,47779,39078
2020-10-04,35063,43572
2020-10-05,62412,50802
2020-10-06,42862,47524
2020-10-07,53017,56257
2020-10-08,56383,65026
2020-10-09,58962,52351
2020-10-10,51648,48936
2020-10-11,44783,43920
2020-10-12,48016,54516
2020-10-13,54394,54514
2020-10-14,59853,60314
2020-10-15,65353,69783
2020-10-16,70463,63883
2020-10-17,52761,44602
2020-10-18,47882,65993
2020-10-19,65440,54242
2020-10-20,60594,70349
2020-10-21,64237,66069
2020-10-22,75128,75949
2020-10-23,85131,70128
2020-10-24,78698,71573
2020-10-25,59712,67562
2020-10-26,74497,76528
2020-10-27,74397,80571
2020-10-28,81924,86297
2020-10-29,90794,97329
2020-10-30,99814,83314
2020-10-31,84235,74906
2020-11-01,74224,96268
2020-11-02,93739,85220
2020-11-03,92630,97676
2020-11-04,107883,108377
2020-11-05,121541,122920
2020-11-06,132872,126410
2020-11-07,125932,110995
2020-11-08,103416,120383
2020-11-09,130441,131635
2020-11-10,139740,142265
2020-11-11,142860,154434
2020-11-12,163491,174380
2020-11-13,181593,165313
2020-11-14,159121,154543
2020-11-15,135187,165861
2020-11-16,166454,162960
2020-11-17,161745,172124
2020-11-18,172283,189109
2020-11-19,187470,202117
2020-11-20,198672,189691
2020-11-21,172003,160116
2020-11-22,141034,166410
2020-11-23,179099,177993
2020-11-24,178290,182550
2020-11-25,180536,195207
2020-11-26,103104,159925
2020-11-27,205462,150460
2020-11-28,151245,137983
2020-11-29,136338,149617
2020-11-30,167760,147464
2020-12-01,184286,172647
2020-12-02,201186,184509
2020-12-03,217959,228718
2020-12-04,231181,209203
2020-12-05,205757,178790
2020-12-06,172159,218091
2020-12-07,204142,210722
2020-12-08,219905,224267
2020-12-09,219678,175659
2020-12-10,225252,257477
2020-12-11,280514,247426
2020-12-12,207444,211429
2020-12-13,184248,225420
2020-12-14,201073,210754
2020-12-15,203000,218315
2020-12-16,245033,242167
2020-12-17,238445,255864
2020-12-18,251191,234040
2020-12-19,193947,185919
2020-12-20,179956,203709
2020-12-21,201570,211505
2020-12-22,201674,222416
2020-12-23,227750,205852
2020-12-24,193557,254652
2020-12-25,100994,54828
2020-12-26,216858,153822
2020-12-27,152102,170020
2020-12-28,189044,169434
2020-12-29,201106,197658
2020-12-30,229038,206536
2020-12-31,231045,240998
2021-01-01,147159,200475
2021-01-02,291384,180856
2021-01-03,201980,218426
2021-01-04,251918,238824
2021-01-05,235051,265916
2021-01-06,255728,243219
2021-01-07,280292,203121
2021-01-08,300594,291406
2021-01-09,252142,268282
2021-01-10,208338,256909
2021-01-11,222921,253226
2021-01-12,229712,257730
2021-01-13,229298,248903
2021-01-14,238620,246673
2021-01-15,240947,246667
2021-01-16,201659,207651
2021-01-17,169641,201298
2021-01-18,142587,198031
2021-01-19,185070,197768
2021-01-20,186912,182707
2021-01-21,190160,193054
2021-01-22,191705,181793
2021-01-23,167954,105645
2021-01-24,129527,152061
2021-01-25,155682,164923
2021-01-26,151616,179242
2021-01-27,155629,172912
2021-01-28,165264,166581
2021-01-29,165636,161378
2021-01-30,133914,109407
2021-01-31,111478,153781
