Date,ActualCases,Predicts
2020-10-01,46418,44677
2020-10-02,53580,45961
2020-10-03,47779,39927
2020-10-04,35063,43984
2020-10-05,62412,48238
2020-10-06,42862,45707
2020-10-07,53017,57812
2020-10-08,56383,64018
2020-10-09,58962,51382
2020-10-10,51648,45865
2020-10-11,44783,47250
2020-10-12,48016,55362
2020-10-13,54394,54357
2020-10-14,59853,58996
2020-10-15,65353,71464
2020-10-16,70463,64868
2020-10-17,52761,47646
2020-10-18,47882,67148
2020-10-19,65440,52809
2020-10-20,60594,69821
2020-10-21,64237,63696
2020-10-22,75128,74889
2020-10-23,85297,71575
2020-10-24,78581,70605
2020-10-25,59715,67911
2020-10-26,74631,78500
2020-10-27,74387,79580
2020-11-01,74195,91916
2020-11-02,94013,86543
2020-11-03,92416,101158
2020-11-04,108080,108346
2020-11-05,121333,124341
2020-11-06,132823,123411
2020-11-07,125932,108837
2020-11-08,103416,121210
2020-11-09,130441,130754
2020-11-10,139750,140183
2020-11-11,142885,152517
2020-11-12,163640,172256
2020-11-13,181497,168095
2020-11-14,159033,156813
2020-11-15,135187,160832
2020-11-16,166560,162211
2020-11-17,161639,173278
2020-11-18,172283,186122
2020-11-19,187515,202923
2020-11-20,198881,188379
2020-11-21,171945,159119
2020-11-22,140838,168955
2020-11-23,179733,175217
2020-11-24,177903,182785
2020-11-25,180672,195618
2020-11-26,102893,165322
2020-11-27,205886,156915
2020-11-28,151146,157151
2020-11-29,136372,148946
2020-11-30,167839,154958
2020-12-01,184260,172762
2020-12-02,201211,177747
2020-12-03,217763,239417
2020-12-04,231387,208347
2020-12-05,205673,184555
2020-12-06,172108,174459
2020-12-07,204292,214596
2020-12-08,219881,226677
2020-12-09,219736,182316
2020-12-10,225221,261475
2020-12-11,280567,252369
2020-12-12,207429,213487
2020-12-13,184224,217440
2020-12-14,201124,213958
2020-12-15,202971,218291
2020-12-16,245042,245142
2020-12-17,238427,247876
2020-12-18,251223,238768
2020-12-19,193919,197828
2020-12-20,179946,204010
2020-12-21,201613,210238
2020-12-22,201660,216513
2020-12-23,227788,213253
2020-12-24,193548,259905
2020-12-25,100973,65748
2020-12-26,216856,151502
2020-12-27,152093,179258
2020-12-28,189066,173356
2020-12-29,201092,198534
2020-12-30,229023,206497
2020-12-31,231035,219810
2021-01-01,147260,201582
2021-01-02,291382,175793
2021-01-03,201967,225184
2021-01-04,251962,218635
2021-01-05,235027,276291
2021-01-06,255760,249416
2021-01-07,280278,189721
2021-01-08,300619,282150
2021-01-09,252129,258344
2021-01-10,208336,259213
2021-01-11,222944,235289
2021-01-12,229695,271848
2021-01-13,229318,250573
2021-01-14,238599,251242
2021-01-15,240935,241488
2021-01-16,201659,213006
2021-01-17,169622,209687
2021-01-18,142647,184565
2021-01-19,185070,184882
2021-01-20,186916,176965
2021-01-21,190134,204345
2021-01-22,191742,164694
2021-01-23,167943,119702
2021-01-24,129522,164521
2021-01-25,155705,164052
2021-01-26,151617,157019
2021-01-27,155639,166207
2021-01-28,165250,176967
2021-01-29,165664,165724
2021-01-30,133905,109332
2021-01-31,113511,154762
2021-02-01,139851,152410
2021-02-02,117903,144309
2021-02-03,120039,131734
2021-02-04,125837,135668
2021-02-05,129574,110242
2021-02-06,105025,83126
2021-02-07,87329,105464
2021-02-08,92780,105087
2021-02-09,96480,98693
2021-02-10,94917,102366
2021-02-11,105599,100712
2021-02-12,99558,78310
2021-02-13,84727,54009
2021-02-14,63850,60446
2021-02-15,55372,73090
