Date,ActualCases,Predicts
2020-10-01,46418,49414
2020-10-02,53580,47890
2020-10-03,47779,37409
2020-10-04,35063,46837
2020-10-05,62412,47713
2020-10-06,42862,45022
2020-10-07,53017,55197
2020-10-08,56383,62910
2020-10-09,58962,54460
2020-10-10,51648,47614
2020-10-11,44783,43477
2020-10-12,48016,52506
2020-10-13,54394,51958
2020-10-14,59853,62769
2020-10-15,65353,68794
2020-10-16,70463,61777
2020-10-17,52761,46496
2020-10-18,47882,69102
2020-10-19,65440,51723
2020-10-20,60594,66060
2020-10-21,64237,64301
2020-10-22,75128,77520
2020-10-23,85131,70501
2020-10-24,78698,70067
2020-10-25,59712,68952
2020-10-26,74497,73208
2020-10-27,74397,77648
2020-10-28,81924,85884
2020-10-29,90794,95452
2020-10-30,99814,86833
2020-10-31,84235,75562
