Date,ActualCases,Predicts
2020-10-01,46418,44614
2020-10-02,53580,46490
2020-10-03,47779,39677
2020-10-04,35063,41378
2020-10-05,62412,52896
2020-10-06,42862,46571
2020-10-07,53017,55791
2020-10-08,56383,64062
2020-10-09,58962,54527
2020-10-10,51648,47777
2020-10-11,44783,54620
2020-10-12,48016,48293
2020-10-13,54394,56417
2020-10-14,59853,60251
2020-10-15,65353,66200
2020-10-16,70463,63226
2020-10-17,52761,48721
2020-10-18,47882,56955
2020-10-19,65440,61255
2020-10-20,60594,69238
2020-10-21,64237,67047
2020-10-22,75128,77862
2020-10-23,85131,67787
2020-10-24,78698,68291
2020-10-25,59712,75432
2020-10-26,74497,73407
2020-10-27,74397,79299
2020-10-28,81924,87926
2020-10-29,90794,95069
2020-10-30,99814,88458
2020-10-31,84235,73443
2020-11-01,74195,88926
2020-11-02,94013,88860
2020-11-03,92416,99709
2020-11-04,108080,107330
2020-11-05,121333,123375
2020-11-06,132823,118964
2020-11-07,125932,115303
2020-11-08,103416,125297
2020-11-09,130441,129867
2020-11-10,139750,141779
2020-11-11,142885,157489
2020-11-12,163640,173987
2020-11-13,181497,169359
2020-11-14,159033,151223
2020-11-15,135187,162850
2020-11-16,166560,166660
2020-11-17,161639,173213
2020-11-18,172283,187776
2020-11-19,187515,203733
2020-11-20,198881,184752
2020-11-21,171945,163567
2020-11-22,140838,171511
2020-11-23,179612,171735
2020-11-24,178024,182029
2020-11-25,180672,195224
2020-11-26,102893,160821
2020-11-27,205886,157489
2020-11-28,151146,127948
2020-11-29,136372,150463
2020-11-30,167839,154935
2020-12-01,184260,170112
2020-12-02,201211,155447
2020-12-03,217763,238021
2020-12-04,231387,207805
2020-12-05,205673,188447
2020-12-06,172108,209716
2020-12-07,204292,200603
2020-12-08,219881,223569
2020-12-09,219736,227574
2020-12-10,225221,249503
2020-12-11,280567,247906
2020-12-12,207429,211108
2020-12-13,184224,222843
2020-12-14,201124,214028
2020-12-15,202971,219385
2020-12-16,245042,224034
2020-12-17,238427,273598
2020-12-18,251223,229563
2020-12-19,193919,185210
2020-12-20,179946,203668
2020-12-21,201613,206053
2020-12-22,201660,231458
2020-12-23,227788,225348
2020-12-24,193548,237575
2020-12-25,100973,49376
2020-12-26,216856,145645
2020-12-27,152093,161658
2020-12-28,189066,173390
2020-12-29,201092,194337
2020-12-30,229023,199309
2020-12-31,231035,220451
2021-01-01,147260,207128
2021-01-02,291382,183085
2021-01-03,201967,228772
2021-01-04,251962,236779
2021-01-05,235027,265115
2021-01-06,255760,254526
2021-01-07,280278,182299
2021-01-08,300619,280897
2021-01-09,252129,267601
2021-01-10,208336,258986
2021-01-11,222944,248239
2021-01-12,229695,255474
2021-01-13,229318,245247
2021-01-14,238599,252547
2021-01-15,240935,255688
2021-01-16,201659,201051
2021-01-17,169622,201383
2021-01-18,142647,194883
2021-01-19,185070,191693
2021-01-20,186916,192410
2021-01-21,190134,193418
2021-01-22,191742,165663
2021-01-23,167943,104016
2021-01-24,129522,148545
2021-01-25,155705,167989
2021-01-26,151617,165732
2021-01-27,155639,162048
2021-01-28,165250,168236
2021-01-29,165664,155351
2021-01-30,133905,108938
2021-01-31,113511,154723
2021-02-01,139851,148935
2021-02-02,117903,140442
2021-02-03,120039,130059
2021-02-04,125837,126054
2021-02-05,129574,120373
2021-02-06,105025,87747
2021-02-07,87329,96821
2021-02-08,92780,96299
2021-02-09,96480,98035
2021-02-10,94917,96887
2021-02-11,105599,93445
2021-02-12,99558,79690
2021-02-13,84727,59207
