Date,ActualCases,Predicts
2020-10-01,46418,43775
2020-10-02,53580,47901
2020-10-03,47779,39256
2020-10-04,35063,44390
2020-10-05,62412,49769
2020-10-06,42862,47284
2020-10-07,53017,56192
2020-10-08,56383,62481
2020-10-09,58962,52528
2020-10-10,51648,48592
2020-10-11,44783,45264
2020-10-12,48016,52816
2020-10-13,54394,54781
2020-10-14,59853,60391
2020-10-15,65353,69964
2020-10-16,70463,63624
2020-10-17,52761,45589
2020-10-18,47882,66498
2020-10-19,65440,55040
2020-10-20,60594,70127
2020-10-21,64237,65183
2020-10-22,75128,75618
2020-10-23,85297,70871
2020-10-24,78581,70577
2020-10-25,59715,67783
2020-10-26,74631,77196
2020-10-27,74387,81606
2020-10-28,81885,86930
2020-10-29,90657,96651
2020-10-30,99868,83707
2020-10-31,84210,74158
2020-11-01,74195,95981
2020-11-02,94013,85015
2020-11-03,92416,97124
2020-11-04,108080,108815
2020-11-05,121333,123382
2020-11-06,132823,126407
2020-11-07,125932,110181
2020-11-08,103416,118880
2020-11-09,130441,131751
2020-11-10,139750,141769
2020-11-11,142885,154411
2020-11-12,163640,174835
2020-11-13,181497,174601
2020-11-14,159033,165310
2020-11-15,135187,154597
2020-11-16,166560,162312
2020-11-17,161639,161678
2020-11-18,172283,171631
2020-11-19,187515,188391
2020-11-20,198881,201866
2020-11-21,171945,189668
2020-11-22,140838,161168
2020-11-23,179733,165698
2020-11-24,177903,176706
2020-11-25,180672,183001
2020-11-26,102893,195549
2020-11-27,205886,155499
2020-11-28,151146,141177
2020-11-29,136372,140717
2020-11-30,167839,150090
2020-12-01,184260,167220
2020-12-02,201211,197928
2020-12-03,217763,226858
2020-12-04,231387,210245
2020-12-05,205673,180381
2020-12-06,172108,215139
2020-12-07,204292,208972
2020-12-08,219881,224337
2020-12-09,219736,179440
2020-12-10,225221,258716
2020-12-11,280567,247107
2020-12-12,207429,213006
2020-12-13,184224,224055
2020-12-14,201124,210961
2020-12-15,202971,214467
2020-12-16,245042,245206
2020-12-17,238427,255693
2020-12-18,251223,229596
2020-12-19,193919,183794
2020-12-20,179946,202190
2020-12-21,201613,214969
2020-12-22,201660,217650
2020-12-23,227788,208610
2020-12-24,193548,261250
2020-12-25,100973,54810
2020-12-26,216856,134793
2020-12-27,152093,171665
2020-12-28,189066,173994
2020-12-29,201092,199783
2020-12-30,229023,200249
2020-12-31,231035,226084
2021-01-01,147260,204708
2021-01-02,291382,177918
2021-01-03,201967,218977
2021-01-04,251962,246179
2021-01-05,235027,267128
2021-01-06,255760,244450
2021-01-07,280278,187899
2021-01-08,300619,186150
2021-01-09,252129,291219
2021-01-10,208336,264783
2021-01-11,222944,258639
2021-01-12,229695,250124
2021-01-13,229318,258069
2021-01-14,238599,246871
2021-01-15,240935,248603
2021-01-16,201659,250603
2021-01-17,169622,205863
2021-01-18,142647,200533
2021-01-19,185070,189969
2021-01-20,186916,189400
2021-01-21,190134,181377
2021-01-22,191742,201074
2021-01-23,167943,184277
2021-01-24,129522,114058
2021-01-25,155705,158784
2021-01-26,151617,166903
2021-01-27,155639,176680
2021-01-28,165250,170054
2021-01-29,165664,167505
2021-01-30,133905,162222
2021-01-31,113511,108218
2021-02-01,139851,150601
2021-02-02,117903,140504
2021-02-03,120039,128025
2021-02-04,125837,134282
2021-02-05,129574,124038
2021-02-06,105025,92080
2021-02-07,87329,97650
2021-02-08,92780,95229
2021-02-09,96480,99127
2021-02-10,94917,116054
2021-02-11,105599,93275
2021-02-12,99558,80243
2021-02-13,84727,60648
2021-02-14,63850,67402
2021-02-15,55372,68635
2021-02-16,64376,52842
2021-02-17,70176,71110
2021-02-18,71874,69675
2021-02-19,78035,51437
2021-02-20,69723,37448
2021-02-21,55195,55317
2021-02-22,59462,31653
2021-02-23,71802,72596
2021-02-24,74130,86022
2021-02-25,77804,77081
2021-02-26,78262,71500
2021-02-27,62694,69983
2021-02-28,50925,48027
2021-03-01,56672,55882
