Date,ActualCases,Predicts
2020-10-01,46418,45130
2020-10-02,53580,46444
2020-10-03,47779,37240
2020-10-04,35063,44807
2020-10-05,62412,47863
2020-10-06,42862,42129
2020-10-07,53017,52121
2020-10-08,56383,63767
2020-10-09,58962,55848
2020-10-10,51648,49714
2020-10-11,44783,44392
2020-10-12,48016,50807
2020-10-13,54394,48968
2020-10-14,59853,65416
2020-10-15,65353,68616
2020-10-16,70463,60131
2020-10-17,52761,45827
2020-10-18,47882,62061
2020-10-19,65440,56523
2020-10-20,60594,63785
2020-10-21,64237,61673
2020-10-22,75128,73876
2020-10-23,85131,73951
2020-10-24,78698,71871
2020-10-25,59712,68228
2020-10-26,74497,73312
2020-10-27,74397,79743
2020-10-28,81924,82485
2020-10-29,90794,97384
2020-10-30,99814,81394
2020-10-31,84235,80701
