Date,ActualCases,Predicts
2020-10-01,46418,45070
2020-10-02,53580,47239
2020-10-03,47779,39699
2020-10-04,35063,44619
2020-10-05,62412,51056
2020-10-06,42862,46179
2020-10-07,53017,56248
2020-10-08,56383,63355
2020-10-09,58962,51607
2020-10-10,51648,48554
2020-10-11,44783,45323
2020-10-12,48016,53899
2020-10-13,54394,54575
2020-10-14,59853,59893
2020-10-15,65353,69666
2020-10-16,70463,63095
2020-10-17,52761,45508
2020-11-01,74195,95927
2020-11-02,94013,85114
2020-11-03,92416,97531
2020-11-04,108080,108941
2020-11-05,121333,123032
2020-11-06,132823,127072
2020-11-07,125932,111243
2020-11-08,103416,120001
2020-11-09,130441,131104
2020-11-10,139750,141826
2020-11-11,142885,154593
2020-11-12,163640,173985
2020-11-13,181497,165549
2020-11-14,159033,154233
2020-11-15,135187,165556
2020-11-16,166560,160178
2020-11-17,161639,172160
2020-11-18,172283,188830
2020-11-19,187515,202271
2020-11-20,198881,189404
2020-11-21,171945,160121
2020-11-22,140838,166252
2020-11-23,179612,177444
2020-11-24,178024,182499
2020-11-25,180672,195794
2020-11-26,102893,149270
2020-11-27,205886,158883
2020-11-28,151146,132197
2020-11-29,136372,154658
2020-11-30,167839,151707
2021-01-01,147260,206029
2021-01-02,291382,182359
2021-01-03,201967,221452
2021-01-04,251962,239695
2021-01-05,235027,266835
2021-01-06,255760,244565
2021-01-07,280278,186997
2021-01-08,300619,288884
2021-01-09,252129,247032
2021-01-10,208336,260089
2021-01-11,222944,249088
2021-01-12,229695,257666
2021-01-13,229318,248940
2021-01-14,238599,244775
2021-01-15,240935,244210
2021-01-16,201659,208418
2021-01-17,169622,203728
2021-01-18,142647,192468
2021-01-19,185070,188470
2021-01-20,186916,184511
2021-01-21,190134,200654
2021-01-22,191742,181846
2021-01-23,167943,98715
2021-01-24,129522,155109
2021-01-25,155705,166412
2021-01-26,151617,176498
2021-01-27,155639,173076
2021-01-28,165250,169933
2021-01-29,165664,162266
2021-01-30,133905,109065
2021-01-31,113511,153700
2021-02-01,139851,148076
2021-02-02,117903,144684
2021-02-03,120039,122239
2021-02-04,125837,135100
2021-02-05,129574,119589
2021-02-06,105025,92050
2021-02-07,87329,99741
2021-02-08,92780,96074
2021-02-09,96480,99665
2021-02-10,94917,109403
2021-02-11,105599,91597
2021-02-12,99558,82769
2021-02-13,84727,59172
