Date,ActualCases,Predicts
2020-10-01,46418,50773
2020-10-02,53580,47630
2020-10-03,47779,38365
2020-10-04,35063,44963
2020-10-05,62412,51911
2020-10-06,42862,48674
2020-10-07,53017,54018
2020-10-08,56383,64196
2020-10-09,58962,52155
2020-10-10,51648,47945
2020-10-11,44783,49852
2020-10-12,48016,49610
2020-10-13,54394,51545
2020-10-14,59853,63523
2020-10-15,65353,70265
2020-10-16,70463,64434
2020-10-17,52761,46845
2020-10-18,47882,66664
2020-10-19,65440,54448
2020-10-20,60594,66141
2020-10-21,64237,65620
2020-10-22,75128,78507
2020-10-23,85131,73027
2020-10-24,78698,70846
2020-10-25,59712,68379
2020-10-26,74497,74610
2020-10-27,74397,77697
2020-10-28,81924,87898
2020-10-29,90794,96755
2020-10-30,99814,87024
2020-10-31,84235,77324
